广东电信-组播1,#genre#
央视网CCTV3,http://183.236.43.98:4111/udp/239.77.0.111:5146
央视网CCTV3,http://183.236.43.98:4111/udp/239.77.1.78:5146
央视网CCTV5,http://183.236.43.98:4111/udp/239.77.1.77:5146
央视网CCTV5,http://183.236.43.98:4111/udp/239.77.0.176:5146
央视网CCTV11,http://183.236.43.98:4111/udp/239.77.0.100:5146
央视网CCTV12,http://183.236.43.98:4111/udp/239.77.0.102:5146
学而思网校,http://183.236.43.98:4111/udp/239.77.1.122:5146
宝安频道,http://183.236.43.98:4111/udp/239.77.1.67:5146
客家生活,http://183.236.43.98:4111/udp/239.253.43.124:5146
求索动物,http://183.236.43.98:4111/udp/239.77.1.183:5146
求索科学,http://183.236.43.98:4111/udp/239.77.0.240:5146
求索记录,http://183.236.43.98:4111/udp/239.77.0.21:5146
百视通广告,http://183.236.43.98:4111/udp/239.253.43.82:5146
经济科教,http://183.236.43.98:4111/udp/239.77.0.8:5146

广东电信-组播2,#genre#
广东卫视,http://home.8v8.fun:4333/udp/239.77.0.84:5146
广东卫视,http://home.8v8.fun:4333/udp/239.77.0.166:5146
广东卫视,http://home.8v8.fun:4333/udp/239.77.0.232:5146
广东卫视,http://home.8v8.fun:4333/udp/239.77.1.19:5146
广东卫视,http://home.8v8.fun:4333/udp/239.77.1.152:5146
广东卫视4K,http://home.8v8.fun:4333/udp/239.77.1.237:5146
广东卫视4K,http://home.8v8.fun:4333/udp/239.77.0.65:5146
广东卫视4K,http://home.8v8.fun:4333/udp/239.77.0.66:5146
大湾区卫视,http://home.8v8.fun:4333/udp/239.77.0.215:5146

广东4K,http://home.8v8.fun:4333/udp/239.77.0.244:5146
广东4K,http://home.8v8.fun:4333/udp/239.77.0.245:5146
广东4k,http://home.8v8.fun:4333/udp/239.77.1.96:5146
广东体育,http://home.8v8.fun:4333/udp/239.77.0.6:5146
广东体育,http://home.8v8.fun:4333/udp/239.77.1.97:5146
广东体育频道,http://home.8v8.fun:4333/udp/239.77.0.112:5146
广东体育频道,http://home.8v8.fun:4333/udp/239.77.0.168:5146
广东南方购物,http://home.8v8.fun:4333/udp/239.77.0.19:5146
广东嘉佳卡通,http://home.8v8.fun:4333/udp/239.77.0.179:5146
广东国际,http://home.8v8.fun:4333/udp/239.77.0.7:5146
广东少儿,http://home.8v8.fun:4333/udp/239.77.0.12:5146
广东少儿频道,http://home.8v8.fun:4333/udp/239.77.0.250:5146
广东影视,http://home.8v8.fun:4333/udp/239.77.0.11:5146
广东影视频道,http://home.8v8.fun:4333/udp/239.77.0.217:5146
广东新闻,http://home.8v8.fun:4333/udp/239.77.0.4:5146
广东新闻,http://home.8v8.fun:4333/udp/239.77.0.190:5146
广东新闻频道,http://home.8v8.fun:4333/udp/239.77.0.173:5146
