湖南电信-组播1,#genre#
CETV-4职业教育,http://0000505.xyz:8888/udp/239.76.252.254:9000
CETV-4职业教育,http://0000505.xyz:8888/udp/239.76.245.254:1234
CETV-4职业教育,http://0000505.xyz:8888/rtp/239.69.2.29:11328
CHC家庭影院,http://0000505.xyz:8888/udp/239.76.252.241:9000
CHC家庭影院,http://0000505.xyz:8888/udp/239.76.245.241:1234
CHC家庭影院,http://0000505.xyz:8888/rtp/239.69.1.243:11100
CHC影迷电影,http://0000505.xyz:8888/udp/239.76.252.242:9000
CHC影迷电影,http://0000505.xyz:8888/udp/239.76.245.242:1234
CHC影迷电影,http://0000505.xyz:8888/rtp/239.69.1.241:11088
CHC动作电影,http://0000505.xyz:8888/udp/239.76.252.243:9000
CHC动作电影,http://0000505.xyz:8888/udp/239.76.245.243:1234
CHC动作电影,http://0000505.xyz:8888/rtp/239.69.1.242:11094
中国交通,http://0000505.xyz:8888/rtp/239.69.2.3:11172
中学生,http://0000505.xyz:8888/rtp/239.69.2.17:11256
中国天气,http://0000505.xyz:8888/udp/239.76.253.61:9000
中国天气,http://0000505.xyz:8888/udp/239.76.246.61:1234
北京中华特产,http://0000505.xyz:8888/rtp/239.69.2.18:11262
北京四海钓鱼,http://0000505.xyz:8888/rtp/239.69.1.244:11106
北京纪实科教,http://0000505.xyz:8888/udp/239.76.254.65:9000
北京卡酷少儿,http://0000505.xyz:8888/udp/239.76.254.81:9000
北京卡酷少儿,http://0000505.xyz:8888/rtp/239.69.1.193:10800
上海东方财经,http://0000505.xyz:8888/udp/239.76.254.69:9000
上海东方财经,http://0000505.xyz:8888/rtp/239.69.2.9:11208
上海动漫秀场,http://0000505.xyz:8888/udp/239.76.254.70:9000
上海动漫秀场,http://0000505.xyz:8888/rtp/239.69.2.6:11190
上海游戏风云,http://0000505.xyz:8888/udp/239.76.254.71:9000
上海游戏风云,http://0000505.xyz:8888/rtp/239.69.2.8:11202
上海乐游,http://0000505.xyz:8888/rtp/239.69.2.12:11226
上海法治天地,http://0000505.xyz:8888/udp/239.76.254.67:9000
上海法治天地,http://0000505.xyz:8888/rtp/239.69.2.10:11214
上海都市剧场,http://0000505.xyz:8888/udp/239.76.254.74:9000
上海都市剧场,http://0000505.xyz:8888/rtp/239.69.2.4:11178
上海多彩文体4K,http://0000505.xyz:8888/rtp/239.69.2.5:11184
上海金色学堂,http://0000505.xyz:8888/udp/239.76.254.75:9000
上海金色学堂,http://0000505.xyz:8888/rtp/239.69.2.13:11232
上海生活时尚,http://0000505.xyz:8888/udp/239.76.254.73:9000
上海生活时尚,http://0000505.xyz:8888/rtp/239.69.2.11:11220
上海魅力足球,http://0000505.xyz:8888/udp/239.76.254.72:9000
河南梨园,http://0000505.xyz:8888/rtp/239.69.1.33:9838
河南武术世界,http://0000505.xyz:8888/rtp/239.69.1.47:9922
河南武术世界,http://0000505.xyz:8888/udp/239.76.252.181:9000
河南武术世界,http://0000505.xyz:8888/udp/239.76.245.181:1234
河南文物宝库,http://0000505.xyz:8888/rtp/239.69.1.46:9916
河南文物宝库,http://0000505.xyz:8888/udp/239.76.252.180:9000
河南文物宝库,http://0000505.xyz:8888/udp/239.76.245.180:1234
湖北快乐垂钓,http://0000505.xyz:8888/udp/239.76.253.5:9000
湖北快乐垂钓,http://0000505.xyz:8888/udp/239.76.246.5:1234
湖北快乐垂钓,http://0000505.xyz:8888/rtp/239.69.1.142:10488
湖南茶频道,http://0000505.xyz:8888/udp/239.76.252.239:9000
湖南茶频道,http://0000505.xyz:8888/udp/239.76.245.239:1234
湖南茶频道,http://0000505.xyz:8888/rtp/239.69.1.144:10500
湖南金鹰纪实,http://0000505.xyz:8888/udp/239.76.253.110:9000
湖南金鹰纪实,http://0000505.xyz:8888/udp/239.76.246.110:1234
湖南金鹰纪实,http://0000505.xyz:8888/udp/239.76.252.122:9000
湖南金鹰纪实,http://0000505.xyz:8888/udp/239.76.245.122:1234
湖南金鹰纪实,http://0000505.xyz:8888/rtp/239.69.1.109:10292
湖南金鹰卡通,http://0000505.xyz:8888/udp/239.76.253.107:9000
湖南金鹰卡通,http://0000505.xyz:8888/udp/239.76.246.107:1234
湖南金鹰卡通,http://0000505.xyz:8888/udp/239.76.252.120:9000
