北京联通-组播1,#genre#
CETV-4职业教育,http://n2.192372.xyz:8888/rtp/239.3.1.56:4120
中国交通,http://n2.192372.xyz:8888/rtp/239.3.1.188:8001
体育赛事,http://n2.192372.xyz:8888/rtp/239.3.1.157:8176
睛彩竞技,http://n2.192372.xyz:8888/rtp/239.3.1.125:8001
睛彩广场舞,http://n2.192372.xyz:8888/rtp/239.3.1.128:8001
睛彩篮球,http://n2.192372.xyz:8888/rtp/239.3.1.126:8001
华数爱上4K电影,http://n2.192372.xyz:8888/rtp/239.3.1.236:2000
华数经典电影,http://n2.192372.xyz:8888/rtp/239.3.1.195:9024
华数动作影院,http://n2.192372.xyz:8888/rtp/239.3.1.92:4120
华数喜剧影院,http://n2.192372.xyz:8888/rtp/239.3.1.91:4120
华数家庭影院,http://n2.192372.xyz:8888/rtp/239.3.1.93:4120
华数星影,http://n2.192372.xyz:8888/rtp/239.3.1.94:4120
华数热播剧场,http://n2.192372.xyz:8888/rtp/239.3.1.194:9020
华数古装剧场,http://n2.192372.xyz:8888/rtp/239.3.1.69:4120
华数城市剧场,http://n2.192372.xyz:8888/rtp/239.3.1.67:4120
华数军旅剧场,http://n2.192372.xyz:8888/rtp/239.3.1.68:4120
华数魅力时尚,http://n2.192372.xyz:8888/rtp/239.3.1.196:9012
华数少儿动画,http://n2.192372.xyz:8888/rtp/239.3.1.199:9000
华数动画,http://n2.192372.xyz:8888/rtp/239.3.1.80:4120
华数精选,http://n2.192372.xyz:8888/rtp/239.3.1.74:4120
华数武侠剧场,http://n2.192372.xyz:8888/rtp/239.3.1.90:4120
IPTV10解密,http://n2.192372.xyz:8888/rtp/239.3.1.75:4120
IPTV11戏曲,http://n2.192372.xyz:8888/rtp/239.3.1.78:4120
IPTV14早教,http://n2.192372.xyz:8888/rtp/239.3.1.79:4120
IPTV15音乐现场,http://n2.192372.xyz:8888/rtp/239.3.1.70:4120
IPTV3＋,http://n2.192372.xyz:8888/rtp/239.3.1.198:9004
IPTV5＋,http://n2.192372.xyz:8888/rtp/239.3.1.200:9008
IPTV5＋,http://n2.192372.xyz:8888/rtp/239.3.1.237:4120
IPTV6＋,http://n2.192372.xyz:8888/rtp/239.3.1.197:9016
IPTV7军事,http://n2.192372.xyz:8888/rtp/239.3.1.76:4120
IPTV8＋,http://n2.192372.xyz:8888/rtp/239.3.1.201:8072
IPTV台球,http://n2.192372.xyz:8888/rtp/239.3.1.85:4120
IPTV国学,http://n2.192372.xyz:8888/rtp/239.3.1.77:4120
IPTV地理,http://n2.192372.xyz:8888/rtp/239.3.1.71:4120
IPTV墨宝,http://n2.192372.xyz:8888/rtp/239.3.1.83:4120
IPTV好学生,http://n2.192372.xyz:8888/rtp/239.3.1.81:4120
IPTV收视指南,http://n2.192372.xyz:8888/rtp/239.3.1.193:8012
IPTV武术,http://n2.192372.xyz:8888/rtp/239.3.1.87:4120
