浙江电信-组播1,#genre#
CGTN英语,http://maymoon.asuscomm.com:7777/rtp/233.50.200.84:5140
CGTN英语,http://maymoon.asuscomm.com:7777/rtp/233.50.201.126:5140
CGTN西班牙语,http://maymoon.asuscomm.com:7777/rtp/233.50.201.36:5140
CGTN法语,http://maymoon.asuscomm.com:7777/rtp/233.50.201.37:5140
CGTN阿拉伯语,http://maymoon.asuscomm.com:7777/rtp/233.50.201.38:5140
CGTN俄语,http://maymoon.asuscomm.com:7777/rtp/233.50.201.39:5140
CETV-1综合教育,http://maymoon.asuscomm.com:7777/rtp/233.50.200.169:5140
CETV-1综合教育,http://maymoon.asuscomm.com:7777/rtp/233.50.201.75:5140
CETV-4职业教育,http://maymoon.asuscomm.com:7777/rtp/233.50.200.141:5140
CETV-4职业教育,http://maymoon.asuscomm.com:7777/rtp/233.50.200.174:5140
CETV-4职业教育,http://maymoon.asuscomm.com:7777/rtp/233.50.201.172:5140
聚鲨环球精选,http://maymoon.asuscomm.com:7777/rtp/233.50.201.91:5140
百事通4K-1,http://maymoon.asuscomm.com:7777/rtp/233.50.200.182:5140
百事通体育直播1,http://maymoon.asuscomm.com:7777/rtp/233.50.201.204:5140
百事通体育直播2,http://maymoon.asuscomm.com:7777/rtp/233.50.201.206:5140
百事通电影4K,http://maymoon.asuscomm.com:7777/rtp/233.50.200.185:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.31:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.233:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.234:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.235:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.236:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.237:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.244:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.245:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.200.246:5140
百事通画面,http://maymoon.asuscomm.com:7777/rtp/233.50.201.205:5140
BesTV-2,http://maymoon.asuscomm.com:7777/rtp/233.50.200.115:5140
BesTV-2,http://maymoon.asuscomm.com:7777/rtp/233.50.200.122:5140
BesTV-2,http://maymoon.asuscomm.com:7777/rtp/233.50.200.125:5140
BesTV-2,http://maymoon.asuscomm.com:7777/rtp/233.50.200.183:5140
北京优优宝贝,http://maymoon.asuscomm.com:7777/rtp/233.50.202.24:5140
北京环球旅游,http://maymoon.asuscomm.com:7777/rtp/233.50.202.31:5140
北京生态环境,http://maymoon.asuscomm.com:7777/rtp/233.50.202.103:5140
北京纪实科教,http://maymoon.asuscomm.com:7777/rtp/233.50.202.34:5140
北京卡酷少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.200.166:5140
北京卡酷少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.202.33:5140
上海东方财经,http://maymoon.asuscomm.com:7777/rtp/233.50.200.177:5140
上海动漫秀场,http://maymoon.asuscomm.com:7777/rtp/233.50.200.12:5140
上海动漫秀场,http://maymoon.asuscomm.com:7777/rtp/233.50.201.184:5140
上海游戏风云,http://maymoon.asuscomm.com:7777/rtp/233.50.200.14:5140
上海游戏风云,http://maymoon.asuscomm.com:7777/rtp/233.50.201.183:5140
上海乐游,http://maymoon.asuscomm.com:7777/rtp/233.50.201.185:5140
上海法治天地,http://maymoon.asuscomm.com:7777/rtp/233.50.200.120:5140
上海法治天地,http://maymoon.asuscomm.com:7777/rtp/233.50.201.191:5140
上海都市剧场,http://maymoon.asuscomm.com:7777/rtp/233.50.200.11:5140
上海都市剧场,http://maymoon.asuscomm.com:7777/rtp/233.50.201.190:5140
上海多彩文体4K,http://maymoon.asuscomm.com:7777/rtp/233.50.200.229:5140
上海多彩文体4K,http://maymoon.asuscomm.com:7777/rtp/233.50.201.189:5140
上海多彩文体4K,http://maymoon.asuscomm.com:7777/rtp/233.50.200.52:5140
上海金色学堂,http://maymoon.asuscomm.com:7777/rtp/233.50.201.186:5140
上海生活时尚,http://maymoon.asuscomm.com:7777/rtp/233.50.200.15:5140
上海生活时尚,http://maymoon.asuscomm.com:7777/rtp/233.50.201.187:5140
湖北快乐垂钓,http://maymoon.asuscomm.com:7777/rtp/233.50.200.123:5140
湖北快乐垂钓,http://maymoon.asuscomm.com:7777/rtp/233.50.201.109:5140
湖南茶频道,http://maymoon.asuscomm.com:7777/rtp/233.50.200.124:5140
湖南茶频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.188:5140
湖南金鹰卡通,http://maymoon.asuscomm.com:7777/rtp/233.50.201.73:5140
央广购物,http://maymoon.asuscomm.com:7777/rtp/233.50.201.93:5140
优购物,http://maymoon.asuscomm.com:7777/rtp/233.50.200.53:5140

杭州导视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.26:5140
杭州导视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.182:5140
杭州影视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.212:5140
杭州影视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.24:5140
杭州影视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.176:5140
杭州明珠,http://maymoon.asuscomm.com:7777/rtp/233.50.200.210:5140
杭州明珠,http://maymoon.asuscomm.com:7777/rtp/233.50.201.174:5140
杭州生活,http://maymoon.asuscomm.com:7777/rtp/233.50.200.211:5140
杭州生活,http://maymoon.asuscomm.com:7777/rtp/233.50.201.23:5140
杭州生活,http://maymoon.asuscomm.com:7777/rtp/233.50.201.175:5140
杭州综合,http://maymoon.asuscomm.com:7777/rtp/233.50.200.209:5140
杭州综合,http://maymoon.asuscomm.com:7777/rtp/233.50.201.22:5140
杭州综合,http://maymoon.asuscomm.com:7777/rtp/233.50.201.173:5140
杭州青少,http://maymoon.asuscomm.com:7777/rtp/233.50.201.177:5140
杭州青少体育,http://maymoon.asuscomm.com:7777/rtp/233.50.200.213:5140
杭州青少体育,http://maymoon.asuscomm.com:7777/rtp/233.50.201.25:5140
宁波1,http://maymoon.asuscomm.com:7777/rtp/233.50.200.26:5140
宁波1,http://maymoon.asuscomm.com:7777/rtp/233.50.201.151:5140
宁波2,http://maymoon.asuscomm.com:7777/rtp/233.50.200.27:5140
宁波2,http://maymoon.asuscomm.com:7777/rtp/233.50.201.152:5140
宁波3,http://maymoon.asuscomm.com:7777/rtp/233.50.200.28:5140
宁波3,http://maymoon.asuscomm.com:7777/rtp/233.50.201.153:5140
宁波4,http://maymoon.asuscomm.com:7777/rtp/233.50.200.29:5140
宁波4,http://maymoon.asuscomm.com:7777/rtp/233.50.201.154:5140
宁波影视频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.180:5140
宁波文体频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.179:5140
宁波新闻综合,http://maymoon.asuscomm.com:7777/rtp/233.50.201.168:5140
