2026/09/10 20:13更新,#genre#
浙江卫视4K,http://www.zhms.tk:5050/udp/239.94.0.118:5140
江苏卫视4K,http://www.zhms.tk:5050/udp/239.94.0.117:5140
北京卫视4K,http://www.zhms.tk:5050/udp/239.94.0.111:5140
北京卫视4K,http://www.zhms.tk:5050/udp/239.94.0.112:5140
东方卫视4K,http://www.zhms.tk:5050/udp/239.94.0.119:5140
东方卫视4K,http://www.zhms.tk:5050/udp/239.94.0.120:5140
广东卫视4K,http://www.zhms.tk:5050/udp/239.94.0.114:5140
深圳卫视4K,http://www.zhms.tk:5050/udp/239.94.0.113:5140
凤凰中文,http://www.zhms.tk:5050/udp/239.94.2.52:5140
凤凰中文,http://www.zhms.tk:5050/udp/239.94.2.51:5140
凤凰资讯,http://www.zhms.tk:5050/udp/239.94.2.49:5140
凤凰资讯,http://www.zhms.tk:5050/udp/239.94.2.50:5140
CGTN英语,http://www.zhms.tk:5050/udp/239.94.0.40:5140
CGTN英语,http://www.zhms.tk:5050/udp/239.94.0.22:5140
CGTN西班牙语,http://www.zhms.tk:5050/udp/239.94.1.61:5140
CGTN西班牙语,http://www.zhms.tk:5050/udp/239.94.1.65:5140
CGTN法语,http://www.zhms.tk:5050/udp/239.94.1.62:5140
CGTN法语,http://www.zhms.tk:5050/udp/239.94.1.66:5140
CETV-1综合教育,http://www.zhms.tk:5050/udp/239.94.1.2:5140
CETV-2空中课堂,http://www.zhms.tk:5050/udp/239.94.1.19:5140
CETV-4职业教育,http://www.zhms.tk:5050/udp/239.94.1.20:5140
CHC家庭影院,http://www.zhms.tk:5050/udp/239.94.1.173:5140
CHC影迷电影,http://www.zhms.tk:5050/udp/239.94.1.174:5140
CHC动作电影,http://www.zhms.tk:5050/udp/239.94.1.175:5140
中国交通,http://www.zhms.tk:5050/udp/239.94.0.87:5140
中国天气,http://www.zhms.tk:5050/udp/239.94.1.167:5140
华数经典电影,http://www.zhms.tk:5050/udp/239.94.1.21:5140
华数热播剧场,http://www.zhms.tk:5050/udp/239.94.1.25:5140
华数魅力时尚,http://www.zhms.tk:5050/udp/239.94.1.39:5140
华数少儿动画,http://www.zhms.tk:5050/udp/239.94.1.33:5140
华数谍战剧场,http://www.zhms.tk:5050/udp/239.94.1.28:5140
iHOT爱谍战,http://www.zhms.tk:5050/udp/239.94.1.134:5140
iHOT爱动漫,http://www.zhms.tk:5050/udp/239.94.1.141:5140
iHOT爱科幻,http://www.zhms.tk:5050/udp/239.94.1.131:5140
iHOT爱浪漫,http://www.zhms.tk:5050/udp/239.94.1.128:5140
iHOT爱历史,http://www.zhms.tk:5050/udp/239.94.1.135:5140
iHOT爱旅行,http://www.zhms.tk:5050/udp/239.94.1.137:5140
iHOT爱奇谈,http://www.zhms.tk:5050/udp/239.94.1.130:5140
